INFO:root:Start SimCLR training for 300 epochs.
INFO:root:Training with gpu: cuda.
DEBUG:root:Epoch: 0	Loss: 6.482702255249023	Top1 accuracy: 1.07421875
INFO:root:Model checkpoint and metadata has been saved at /root/Lab3-1/logs/simclr_C10_lr0.001_wd0_temp0.07_bt512_e300.
DEBUG:root:Epoch: 1	Loss: 6.202706336975098	Top1 accuracy: 2.734375
DEBUG:root:Epoch: 2	Loss: 5.883516311645508	Top1 accuracy: 5.56640625
DEBUG:root:Epoch: 3	Loss: 5.533987998962402	Top1 accuracy: 10.7421875
DEBUG:root:Epoch: 4	Loss: 5.382173538208008	Top1 accuracy: 10.64453125
DEBUG:root:Epoch: 5	Loss: 5.1365647315979	Top1 accuracy: 13.28125
DEBUG:root:Epoch: 6	Loss: 4.8198418617248535	Top1 accuracy: 19.04296875
DEBUG:root:Epoch: 7	Loss: 4.536056995391846	Top1 accuracy: 23.92578125
DEBUG:root:Epoch: 8	Loss: 4.332582950592041	Top1 accuracy: 25.09765625
DEBUG:root:Epoch: 9	Loss: 4.199764251708984	Top1 accuracy: 29.296875
DEBUG:root:Epoch: 10	Loss: 4.141082286834717	Top1 accuracy: 29.58984375
DEBUG:root:Epoch: 11	Loss: 4.130074977874756	Top1 accuracy: 27.9296875
DEBUG:root:Epoch: 12	Loss: 3.8396263122558594	Top1 accuracy: 32.12890625
DEBUG:root:Epoch: 13	Loss: 4.0421576499938965	Top1 accuracy: 33.0078125
DEBUG:root:Epoch: 14	Loss: 3.598389148712158	Top1 accuracy: 39.35546875
DEBUG:root:Epoch: 15	Loss: 3.616497039794922	Top1 accuracy: 36.71875
DEBUG:root:Epoch: 16	Loss: 3.4892990589141846	Top1 accuracy: 41.2109375
DEBUG:root:Epoch: 17	Loss: 3.460322380065918	Top1 accuracy: 39.74609375
DEBUG:root:Epoch: 18	Loss: 3.0892412662506104	Top1 accuracy: 44.23828125
DEBUG:root:Epoch: 19	Loss: 3.1879074573516846	Top1 accuracy: 45.99609375
DEBUG:root:Epoch: 20	Loss: 3.144822120666504	Top1 accuracy: 45.21484375
DEBUG:root:Epoch: 21	Loss: 3.0568156242370605	Top1 accuracy: 46.2890625
DEBUG:root:Epoch: 22	Loss: 3.3721508979797363	Top1 accuracy: 41.40625
DEBUG:root:Epoch: 23	Loss: 3.0007872581481934	Top1 accuracy: 49.31640625
DEBUG:root:Epoch: 24	Loss: 3.0984392166137695	Top1 accuracy: 45.80078125
DEBUG:root:Epoch: 25	Loss: 3.1913063526153564	Top1 accuracy: 44.140625
DEBUG:root:Epoch: 26	Loss: 2.993248224258423	Top1 accuracy: 45.41015625
DEBUG:root:Epoch: 27	Loss: 3.116349935531616	Top1 accuracy: 46.19140625
DEBUG:root:Epoch: 28	Loss: 3.2079720497131348	Top1 accuracy: 45.703125
DEBUG:root:Epoch: 29	Loss: 2.7772603034973145	Top1 accuracy: 50.29296875
DEBUG:root:Epoch: 30	Loss: 3.017885446548462	Top1 accuracy: 45.41015625
DEBUG:root:Epoch: 31	Loss: 2.8802263736724854	Top1 accuracy: 47.4609375
DEBUG:root:Epoch: 32	Loss: 2.9837183952331543	Top1 accuracy: 48.828125
DEBUG:root:Epoch: 33	Loss: 2.848346710205078	Top1 accuracy: 50.9765625
DEBUG:root:Epoch: 34	Loss: 2.6628713607788086	Top1 accuracy: 52.5390625
DEBUG:root:Epoch: 35	Loss: 2.7122013568878174	Top1 accuracy: 52.1484375
DEBUG:root:Epoch: 36	Loss: 2.791987419128418	Top1 accuracy: 52.34375
DEBUG:root:Epoch: 37	Loss: 2.9343857765197754	Top1 accuracy: 46.484375
DEBUG:root:Epoch: 38	Loss: 2.5851356983184814	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 39	Loss: 2.519097089767456	Top1 accuracy: 54.98046875
DEBUG:root:Epoch: 40	Loss: 2.6460649967193604	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 41	Loss: 2.735870599746704	Top1 accuracy: 49.31640625
DEBUG:root:Epoch: 42	Loss: 2.724461078643799	Top1 accuracy: 55.17578125
DEBUG:root:Epoch: 43	Loss: 2.5966055393218994	Top1 accuracy: 55.56640625
DEBUG:root:Epoch: 44	Loss: 2.636573076248169	Top1 accuracy: 55.17578125
DEBUG:root:Epoch: 45	Loss: 2.762056589126587	Top1 accuracy: 51.5625
DEBUG:root:Epoch: 46	Loss: 2.730451822280884	Top1 accuracy: 48.4375
DEBUG:root:Epoch: 47	Loss: 2.5440590381622314	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 48	Loss: 2.426469087600708	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 49	Loss: 2.7201366424560547	Top1 accuracy: 51.85546875
DEBUG:root:Epoch: 50	Loss: 2.703538656234741	Top1 accuracy: 52.05078125
DEBUG:root:Epoch: 51	Loss: 2.5924079418182373	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 52	Loss: 2.554706335067749	Top1 accuracy: 54.39453125
DEBUG:root:Epoch: 53	Loss: 2.547840118408203	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 54	Loss: 2.49021315574646	Top1 accuracy: 57.71484375
DEBUG:root:Epoch: 55	Loss: 2.6067214012145996	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 56	Loss: 2.5292491912841797	Top1 accuracy: 54.8828125
DEBUG:root:Epoch: 57	Loss: 2.3590927124023438	Top1 accuracy: 57.51953125
DEBUG:root:Epoch: 58	Loss: 2.4807112216949463	Top1 accuracy: 56.93359375
DEBUG:root:Epoch: 59	Loss: 2.6952097415924072	Top1 accuracy: 52.9296875
DEBUG:root:Epoch: 60	Loss: 2.4069645404815674	Top1 accuracy: 54.39453125
DEBUG:root:Epoch: 61	Loss: 2.3265914916992188	Top1 accuracy: 58.88671875
DEBUG:root:Epoch: 62	Loss: 2.4283735752105713	Top1 accuracy: 55.56640625
DEBUG:root:Epoch: 63	Loss: 2.103116750717163	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 64	Loss: 2.3763716220855713	Top1 accuracy: 58.10546875
DEBUG:root:Epoch: 65	Loss: 2.1525659561157227	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 66	Loss: 2.192049264907837	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 67	Loss: 2.274030923843384	Top1 accuracy: 58.59375
DEBUG:root:Epoch: 68	Loss: 2.3461930751800537	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 69	Loss: 2.357754707336426	Top1 accuracy: 59.375
DEBUG:root:Epoch: 70	Loss: 2.211914539337158	Top1 accuracy: 59.375
DEBUG:root:Epoch: 71	Loss: 2.443218946456909	Top1 accuracy: 58.3984375
DEBUG:root:Epoch: 72	Loss: 2.2544589042663574	Top1 accuracy: 57.91015625
DEBUG:root:Epoch: 73	Loss: 2.174494743347168	Top1 accuracy: 61.62109375
DEBUG:root:Epoch: 74	Loss: 2.1075987815856934	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 75	Loss: 2.1359565258026123	Top1 accuracy: 61.5234375
DEBUG:root:Epoch: 76	Loss: 2.1315417289733887	Top1 accuracy: 61.81640625
DEBUG:root:Epoch: 77	Loss: 2.308652877807617	Top1 accuracy: 59.47265625
DEBUG:root:Epoch: 78	Loss: 2.1928608417510986	Top1 accuracy: 60.83984375
DEBUG:root:Epoch: 79	Loss: 2.2116458415985107	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 80	Loss: 2.1365809440612793	Top1 accuracy: 63.76953125
DEBUG:root:Epoch: 81	Loss: 2.109804391860962	Top1 accuracy: 62.98828125
DEBUG:root:Epoch: 82	Loss: 2.1078481674194336	Top1 accuracy: 63.0859375
DEBUG:root:Epoch: 83	Loss: 2.2385990619659424	Top1 accuracy: 62.40234375
DEBUG:root:Epoch: 84	Loss: 2.1475417613983154	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 85	Loss: 2.1794073581695557	Top1 accuracy: 59.375
DEBUG:root:Epoch: 86	Loss: 2.3495543003082275	Top1 accuracy: 59.08203125
DEBUG:root:Epoch: 87	Loss: 2.0340187549591064	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 88	Loss: 2.2945847511291504	Top1 accuracy: 58.88671875
DEBUG:root:Epoch: 89	Loss: 2.1132800579071045	Top1 accuracy: 62.59765625
DEBUG:root:Epoch: 90	Loss: 2.3556458950042725	Top1 accuracy: 59.66796875
DEBUG:root:Epoch: 91	Loss: 2.2015042304992676	Top1 accuracy: 59.47265625
DEBUG:root:Epoch: 92	Loss: 2.1086785793304443	Top1 accuracy: 61.81640625
DEBUG:root:Epoch: 93	Loss: 2.135361433029175	Top1 accuracy: 62.01171875
DEBUG:root:Epoch: 94	Loss: 2.0664398670196533	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 95	Loss: 2.171656608581543	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 96	Loss: 2.0524544715881348	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 97	Loss: 2.1124398708343506	Top1 accuracy: 61.42578125
DEBUG:root:Epoch: 98	Loss: 1.9973593950271606	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 99	Loss: 2.02532958984375	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 100	Loss: 1.9944286346435547	Top1 accuracy: 63.57421875
INFO:root:Model checkpoint and metadata has been saved at /root/Lab3-1/logs/simclr_C10_lr0.001_wd0_temp0.07_bt512_e300.
DEBUG:root:Epoch: 101	Loss: 1.9973703622817993	Top1 accuracy: 65.72265625
DEBUG:root:Epoch: 102	Loss: 1.941075325012207	Top1 accuracy: 65.13671875
DEBUG:root:Epoch: 103	Loss: 2.2117528915405273	Top1 accuracy: 61.42578125
DEBUG:root:Epoch: 104	Loss: 2.007568359375	Top1 accuracy: 64.453125
DEBUG:root:Epoch: 105	Loss: 2.0149292945861816	Top1 accuracy: 64.16015625
DEBUG:root:Epoch: 106	Loss: 2.2385380268096924	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 107	Loss: 1.9400187730789185	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 108	Loss: 1.8164820671081543	Top1 accuracy: 67.28515625
