INFO:root:Start SimCLR training for 80 epochs.
INFO:root:Training with gpu: cuda.
DEBUG:root:Epoch: 0	Loss: 5.993593215942383	Top1 accuracy: 6.54296875
DEBUG:root:Epoch: 1	Loss: 5.220524787902832	Top1 accuracy: 11.62109375
DEBUG:root:Epoch: 2	Loss: 5.085125923156738	Top1 accuracy: 17.578125
DEBUG:root:Epoch: 3	Loss: 4.6508588790893555	Top1 accuracy: 22.265625
DEBUG:root:Epoch: 4	Loss: 4.540282249450684	Top1 accuracy: 24.0234375
DEBUG:root:Epoch: 5	Loss: 3.996985912322998	Top1 accuracy: 31.25
DEBUG:root:Epoch: 6	Loss: 4.097785472869873	Top1 accuracy: 32.32421875
DEBUG:root:Epoch: 7	Loss: 3.8138222694396973	Top1 accuracy: 35.3515625
DEBUG:root:Epoch: 8	Loss: 3.9422407150268555	Top1 accuracy: 34.9609375
DEBUG:root:Epoch: 9	Loss: 3.8013534545898438	Top1 accuracy: 34.5703125
DEBUG:root:Epoch: 10	Loss: 3.592839479446411	Top1 accuracy: 36.03515625
DEBUG:root:Epoch: 11	Loss: 3.6982359886169434	Top1 accuracy: 37.59765625
DEBUG:root:Epoch: 12	Loss: 3.19221830368042	Top1 accuracy: 41.6015625
DEBUG:root:Epoch: 13	Loss: 3.376016139984131	Top1 accuracy: 43.06640625
DEBUG:root:Epoch: 14	Loss: 3.2114100456237793	Top1 accuracy: 43.75
DEBUG:root:Epoch: 15	Loss: 3.2202024459838867	Top1 accuracy: 41.6015625
DEBUG:root:Epoch: 16	Loss: 2.984100580215454	Top1 accuracy: 45.80078125
DEBUG:root:Epoch: 17	Loss: 2.9964165687561035	Top1 accuracy: 46.875
DEBUG:root:Epoch: 18	Loss: 3.0038788318634033	Top1 accuracy: 49.12109375
DEBUG:root:Epoch: 19	Loss: 2.9454715251922607	Top1 accuracy: 48.73046875
DEBUG:root:Epoch: 20	Loss: 2.843477964401245	Top1 accuracy: 49.51171875
DEBUG:root:Epoch: 21	Loss: 2.7110321521759033	Top1 accuracy: 49.609375
DEBUG:root:Epoch: 22	Loss: 2.8975839614868164	Top1 accuracy: 47.16796875
DEBUG:root:Epoch: 23	Loss: 2.7106945514678955	Top1 accuracy: 50.87890625
DEBUG:root:Epoch: 24	Loss: 2.7193005084991455	Top1 accuracy: 51.26953125
DEBUG:root:Epoch: 25	Loss: 2.7152276039123535	Top1 accuracy: 51.26953125
DEBUG:root:Epoch: 26	Loss: 2.624011993408203	Top1 accuracy: 54.39453125
DEBUG:root:Epoch: 27	Loss: 2.7022178173065186	Top1 accuracy: 53.61328125
DEBUG:root:Epoch: 28	Loss: 2.770237684249878	Top1 accuracy: 52.5390625
DEBUG:root:Epoch: 29	Loss: 2.526536703109741	Top1 accuracy: 53.125
DEBUG:root:Epoch: 30	Loss: 2.6216237545013428	Top1 accuracy: 51.07421875
DEBUG:root:Epoch: 31	Loss: 2.519698143005371	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 32	Loss: 2.635802984237671	Top1 accuracy: 53.41796875
DEBUG:root:Epoch: 33	Loss: 2.67380952835083	Top1 accuracy: 53.02734375
DEBUG:root:Epoch: 34	Loss: 2.5157127380371094	Top1 accuracy: 56.15234375
DEBUG:root:Epoch: 35	Loss: 2.442077159881592	Top1 accuracy: 55.37109375
DEBUG:root:Epoch: 36	Loss: 2.6033661365509033	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 37	Loss: 2.498216152191162	Top1 accuracy: 54.19921875
DEBUG:root:Epoch: 38	Loss: 2.331310510635376	Top1 accuracy: 59.5703125
DEBUG:root:Epoch: 39	Loss: 2.4605376720428467	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 40	Loss: 2.3075740337371826	Top1 accuracy: 58.59375
DEBUG:root:Epoch: 41	Loss: 2.4566965103149414	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 42	Loss: 2.493762731552124	Top1 accuracy: 56.4453125
DEBUG:root:Epoch: 43	Loss: 2.343554973602295	Top1 accuracy: 59.375
DEBUG:root:Epoch: 44	Loss: 2.2987654209136963	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 45	Loss: 2.2451283931732178	Top1 accuracy: 58.0078125
DEBUG:root:Epoch: 46	Loss: 2.3433475494384766	Top1 accuracy: 59.08203125
DEBUG:root:Epoch: 47	Loss: 1.985006332397461	Top1 accuracy: 61.81640625
DEBUG:root:Epoch: 48	Loss: 2.1249258518218994	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 49	Loss: 2.1231164932250977	Top1 accuracy: 60.9375
DEBUG:root:Epoch: 50	Loss: 2.1243622303009033	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 51	Loss: 1.9436619281768799	Top1 accuracy: 65.13671875
DEBUG:root:Epoch: 52	Loss: 2.1699397563934326	Top1 accuracy: 59.86328125
