INFO:root:Start SimCLR training for 80 epochs.
INFO:root:Training with gpu: cuda.
DEBUG:root:Epoch: 0	Loss: 6.0135650634765625	Top1 accuracy: 4.1015625
DEBUG:root:Epoch: 1	Loss: 5.319515228271484	Top1 accuracy: 13.37890625
DEBUG:root:Epoch: 2	Loss: 4.815343379974365	Top1 accuracy: 19.3359375
DEBUG:root:Epoch: 3	Loss: 4.415798187255859	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 4	Loss: 4.35083532333374	Top1 accuracy: 24.0234375
DEBUG:root:Epoch: 5	Loss: 3.8726837635040283	Top1 accuracy: 33.69140625
DEBUG:root:Epoch: 6	Loss: 3.9161391258239746	Top1 accuracy: 37.109375
DEBUG:root:Epoch: 7	Loss: 3.7939951419830322	Top1 accuracy: 34.5703125
DEBUG:root:Epoch: 8	Loss: 3.741368293762207	Top1 accuracy: 37.109375
DEBUG:root:Epoch: 9	Loss: 3.6279969215393066	Top1 accuracy: 40.625
DEBUG:root:Epoch: 10	Loss: 3.443709373474121	Top1 accuracy: 40.13671875
DEBUG:root:Epoch: 11	Loss: 3.5573642253875732	Top1 accuracy: 41.89453125
DEBUG:root:Epoch: 12	Loss: 3.295584201812744	Top1 accuracy: 43.06640625
DEBUG:root:Epoch: 13	Loss: 3.2629480361938477	Top1 accuracy: 47.94921875
DEBUG:root:Epoch: 14	Loss: 3.1987013816833496	Top1 accuracy: 46.58203125
DEBUG:root:Epoch: 15	Loss: 3.1775529384613037	Top1 accuracy: 48.828125
DEBUG:root:Epoch: 16	Loss: 2.9249684810638428	Top1 accuracy: 53.41796875
DEBUG:root:Epoch: 17	Loss: 3.062936782836914	Top1 accuracy: 51.171875
DEBUG:root:Epoch: 18	Loss: 3.0389187335968018	Top1 accuracy: 50.5859375
DEBUG:root:Epoch: 19	Loss: 3.02746319770813	Top1 accuracy: 52.63671875
DEBUG:root:Epoch: 20	Loss: 2.8506596088409424	Top1 accuracy: 53.61328125
DEBUG:root:Epoch: 21	Loss: 2.8061745166778564	Top1 accuracy: 54.296875
DEBUG:root:Epoch: 22	Loss: 2.8955256938934326	Top1 accuracy: 53.3203125
DEBUG:root:Epoch: 23	Loss: 2.847212791442871	Top1 accuracy: 53.22265625
DEBUG:root:Epoch: 24	Loss: 2.810392379760742	Top1 accuracy: 56.8359375
DEBUG:root:Epoch: 25	Loss: 2.8105990886688232	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 26	Loss: 2.679011821746826	Top1 accuracy: 59.86328125
DEBUG:root:Epoch: 27	Loss: 2.7814624309539795	Top1 accuracy: 58.49609375
DEBUG:root:Epoch: 28	Loss: 2.784940481185913	Top1 accuracy: 59.08203125
DEBUG:root:Epoch: 29	Loss: 2.5749292373657227	Top1 accuracy: 59.08203125
DEBUG:root:Epoch: 30	Loss: 2.6407575607299805	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 31	Loss: 2.5493698120117188	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 32	Loss: 2.634674310684204	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 33	Loss: 2.6571362018585205	Top1 accuracy: 61.03515625
DEBUG:root:Epoch: 34	Loss: 2.669414520263672	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 35	Loss: 2.6745657920837402	Top1 accuracy: 60.9375
DEBUG:root:Epoch: 36	Loss: 2.7113285064697266	Top1 accuracy: 59.375
DEBUG:root:Epoch: 37	Loss: 2.5992705821990967	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 38	Loss: 2.5622689723968506	Top1 accuracy: 61.5234375
DEBUG:root:Epoch: 39	Loss: 2.465682029724121	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 40	Loss: 2.553931474685669	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 41	Loss: 2.5209639072418213	Top1 accuracy: 60.05859375
DEBUG:root:Epoch: 42	Loss: 2.6065194606781006	Top1 accuracy: 60.44921875
DEBUG:root:Epoch: 43	Loss: 2.444844961166382	Top1 accuracy: 64.94140625
DEBUG:root:Epoch: 44	Loss: 2.4164202213287354	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 45	Loss: 2.4126877784729004	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 46	Loss: 2.5251359939575195	Top1 accuracy: 62.40234375
DEBUG:root:Epoch: 47	Loss: 2.2561211585998535	Top1 accuracy: 69.140625
DEBUG:root:Epoch: 48	Loss: 2.379199266433716	Top1 accuracy: 67.48046875
DEBUG:root:Epoch: 49	Loss: 2.3880059719085693	Top1 accuracy: 65.4296875
