INFO:root:Start SimCLR training for 100 epochs.
INFO:root:Training with gpu: cuda.
DEBUG:root:Epoch: 0	Loss: 6.140594482421875	Top1 accuracy: 2.9296875
DEBUG:root:Epoch: 1	Loss: 5.708818435668945	Top1 accuracy: 8.0078125
DEBUG:root:Epoch: 2	Loss: 5.046314239501953	Top1 accuracy: 17.96875
DEBUG:root:Epoch: 3	Loss: 4.624905586242676	Top1 accuracy: 21.2890625
DEBUG:root:Epoch: 4	Loss: 4.328399181365967	Top1 accuracy: 23.6328125
DEBUG:root:Epoch: 5	Loss: 3.77836012840271	Top1 accuracy: 34.47265625
DEBUG:root:Epoch: 6	Loss: 3.7309579849243164	Top1 accuracy: 36.5234375
DEBUG:root:Epoch: 7	Loss: 3.595982789993286	Top1 accuracy: 38.4765625
DEBUG:root:Epoch: 8	Loss: 3.5561954975128174	Top1 accuracy: 38.57421875
DEBUG:root:Epoch: 9	Loss: 3.3468103408813477	Top1 accuracy: 40.91796875
DEBUG:root:Epoch: 10	Loss: 3.222207546234131	Top1 accuracy: 41.9921875
DEBUG:root:Epoch: 11	Loss: 3.3440191745758057	Top1 accuracy: 42.48046875
DEBUG:root:Epoch: 12	Loss: 3.033754587173462	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 13	Loss: 3.0893306732177734	Top1 accuracy: 46.2890625
DEBUG:root:Epoch: 14	Loss: 2.905850887298584	Top1 accuracy: 47.4609375
DEBUG:root:Epoch: 15	Loss: 2.859307050704956	Top1 accuracy: 45.99609375
DEBUG:root:Epoch: 16	Loss: 2.6399590969085693	Top1 accuracy: 49.90234375
DEBUG:root:Epoch: 17	Loss: 2.868502616882324	Top1 accuracy: 48.14453125
DEBUG:root:Epoch: 18	Loss: 2.872753381729126	Top1 accuracy: 48.92578125
DEBUG:root:Epoch: 19	Loss: 2.7188100814819336	Top1 accuracy: 50.9765625
DEBUG:root:Epoch: 20	Loss: 2.5275354385375977	Top1 accuracy: 52.9296875
DEBUG:root:Epoch: 21	Loss: 2.604715585708618	Top1 accuracy: 51.07421875
