INFO:root:Start SimCLR training for 500 epochs.
INFO:root:Training with gpu: cuda.
DEBUG:root:Epoch: 0	Loss: 6.079232692718506	Top1 accuracy: 4.78515625
INFO:root:Model checkpoint and metadata has been saved at /root/Lab3-1/logs/simclr_TIN_lr0.001_wd0_temp0.07_bt512_e500.
DEBUG:root:Epoch: 1	Loss: 5.314817905426025	Top1 accuracy: 12.890625
DEBUG:root:Epoch: 2	Loss: 4.905509948730469	Top1 accuracy: 17.96875
DEBUG:root:Epoch: 3	Loss: 4.553081512451172	Top1 accuracy: 22.4609375
DEBUG:root:Epoch: 4	Loss: 4.3020453453063965	Top1 accuracy: 25.0
DEBUG:root:Epoch: 5	Loss: 3.695861339569092	Top1 accuracy: 36.328125
DEBUG:root:Epoch: 6	Loss: 3.638922929763794	Top1 accuracy: 38.76953125
DEBUG:root:Epoch: 7	Loss: 3.4380507469177246	Top1 accuracy: 40.4296875
DEBUG:root:Epoch: 8	Loss: 3.4694504737854004	Top1 accuracy: 39.74609375
DEBUG:root:Epoch: 9	Loss: 3.3622002601623535	Top1 accuracy: 41.11328125
DEBUG:root:Epoch: 10	Loss: 3.1245651245117188	Top1 accuracy: 42.67578125
DEBUG:root:Epoch: 11	Loss: 3.405989170074463	Top1 accuracy: 40.33203125
DEBUG:root:Epoch: 12	Loss: 2.9387459754943848	Top1 accuracy: 45.41015625
DEBUG:root:Epoch: 13	Loss: 3.071106433868408	Top1 accuracy: 48.2421875
DEBUG:root:Epoch: 14	Loss: 2.943920612335205	Top1 accuracy: 49.0234375
DEBUG:root:Epoch: 15	Loss: 2.8890953063964844	Top1 accuracy: 48.14453125
DEBUG:root:Epoch: 16	Loss: 2.5988595485687256	Top1 accuracy: 52.44140625
DEBUG:root:Epoch: 17	Loss: 2.904064416885376	Top1 accuracy: 49.0234375
DEBUG:root:Epoch: 18	Loss: 2.7932491302490234	Top1 accuracy: 50.09765625
DEBUG:root:Epoch: 19	Loss: 2.7192766666412354	Top1 accuracy: 52.5390625
DEBUG:root:Epoch: 20	Loss: 2.6284971237182617	Top1 accuracy: 53.7109375
DEBUG:root:Epoch: 21	Loss: 2.706172227859497	Top1 accuracy: 50.0
DEBUG:root:Epoch: 22	Loss: 2.7267725467681885	Top1 accuracy: 51.3671875
DEBUG:root:Epoch: 23	Loss: 2.552764892578125	Top1 accuracy: 55.56640625
